configuration,level,period_ms,lines,seed,epochs,task_set_accepted,cluster_capacity_gpu0,cluster_capacity_gpu1,assigned_per_slice_gpu0,assigned_per_slice_gpu1,selected_voltage_gpu0,selected_voltage_gpu1,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
HEAT-adapted-L1,1,100,6,202,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,1647dacc78c42fdbc64e7d28ec9e5575601944c739c0044734f158d076fd1351,6000,6000,0.4247423119946177,6000,0.4247423119946177,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,303,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,b40e3956fc736148fe48725c99a765faa7ca344bcdde335f7de5815dce321912,6000,6000,0.4247423119946171,6000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,404,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,90dd8c8ff63030dd9dbbd25c0b5e9d426cebafe711c88974834a56210f18bdc1,6000,6000,0.4247423119946173,6000,0.4247423119946173,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,505,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,64fec059e2099a382af339a6780c28497caac0c5ebb5f50adb7d0e94049738cd,6000,6000,0.4247423119946169,6000,0.4247423119946169,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,606,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,ae880915da58fff9f20affe7a5a25900cde6365bd54144492baa5036a1d84adc,6000,6000,0.4247423119946165,6000,0.4247423119946165,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,707,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,c0f27110c744a3fc7a33aecc95f2268b53928f9aef18cbadd02b335ecd207f0e,6000,6000,0.4247423119946171,6000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,808,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,063cb3f34bb5042d5a315795e5ea1e803957554d0c67c50190b2b486a6968f17,6000,6000,0.4247423119946172,6000,0.4247423119946172,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013338137843,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,909,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,43ca3bc1908129b5c2ac96d7e4719f6173824add31150444bda10a9206dc8922,6000,6000,0.42474231199461704,6000,0.42474231199461704,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013337900818,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,6,1010,1000,True,17,8,17,7,0.88,0.8,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,da29db140ec3433f5a7bef5bfca040b9d439fbd33929da0e9b1ac51f823030f9,6000,6000,0.4247423119946177,6000,0.4247423119946177,0.6654705787174815,0.3345294212825185,0.042,0.0,65.79418956831798,1525.1013337900818,75.96268156011837,99.9973636363636
HEAT-adapted-L1,1,100,8,101,1000,False,17,8,17,15,,,8000,8000,8000,0,0,0,0,1.0,0.0,1.0,0f9edf4f145539579827e1cf58f55521cd3976a480e360fe644d8b88a199323b,8000,8000,0.0,0,nan,0.0,1.0,1.0,nan,nan,nan,nan,nan
