time_s,gpu,temperature_c,voltage_v
2.537,1,51.585373858234824,0.88
2.5380000000000003,1,51.59831434308484,0.88
2.539,1,51.61124828429262,0.88
2.54,1,51.624175685167145,0.88
2.541,1,51.637096549015645,0.88
2.5420000000000003,1,51.65001087914374,0.88
2.543,1,51.662918678855334,0.88
2.544,1,51.67581995145268,0.88
2.545,1,51.68871470023636,0.88
2.5460000000000003,1,51.70160292850528,0.88
2.547,1,51.71448463955669,0.88
2.548,1,51.727359836686155,0.88
2.549,1,51.74022852318758,0.88
2.5500000000000003,1,51.753090702353234,0.88
2.551,1,51.76594637747367,0.88
2.552,1,51.77879555183781,0.88
2.553,1,51.7916382287329,0.88
2.5540000000000003,1,51.804474411444545,0.88
2.555,1,51.81730410325665,0.88
2.556,1,51.8301273074515,0.88
2.557,1,51.84294402730969,0.88
2.5580000000000003,1,51.85575426611018,0.88
2.559,1,51.86855802713025,0.88
2.56,1,51.881355313645535,0.88
2.561,1,51.89414612893002,0.88
2.562,1,51.90693047625601,0.88
2.563,1,51.919708358894184,0.88
2.564,1,51.932479780113546,0.88
2.565,1,51.94524474318146,0.88
2.566,1,51.958003251363635,0.88
2.567,1,51.97075530792413,0.88
2.568,1,51.98350091612534,0.88
2.569,1,51.996240079228016,0.88
2.57,1,52.00897280049128,0.88
2.571,1,52.021699083172585,0.88
2.572,1,52.03441893052774,0.88
2.573,1,52.04713234581091,0.88
2.574,1,52.05983933227462,0.88
2.575,1,52.07253989316973,0.88
2.576,1,52.08523403174549,0.88
2.577,1,52.09792175124947,0.88
2.578,1,52.11032479981015,0.8
2.579,1,52.11431430049663,0.8
2.58,1,52.1183017838039,0.8
2.581,1,52.122287250752095,0.8
2.582,1,52.12627070236083,0.8
2.583,1,52.1302521396492,0.8
2.584,1,52.1342315636358,0.8
2.585,1,52.1382089753387,0.8
2.586,1,52.14218437577544,0.8
2.587,1,52.14615776596309,0.8
2.588,1,52.150129146918154,0.8
2.589,1,52.15409851965666,0.8
2.59,1,52.158065885194084,0.8
2.591,1,52.16230949966291,0.88
2.592,1,52.174958244252814,0.88
2.593,1,52.18760059272541,0.88
2.594,1,52.20023654831505,0.88
2.595,1,52.21286611425444,0.88
2.596,1,52.22548929377462,0.88
2.597,1,52.23810609010505,0.88
2.598,1,52.25071650647354,0.88
2.599,1,52.26332054610623,0.88
2.6,1,52.275918212227666,0.88
2.601,1,52.28850950806076,0.88
2.602,1,52.3010944368268,0.88
2.603,1,52.31367300174542,0.88
2.604,1,52.32624520603464,0.88
2.605,1,52.338811052910856,0.88
2.606,1,52.35137054558883,0.88
2.607,1,52.36392368728171,0.88
2.608,1,52.37647048120101,0.88
