,,pre_execution_rejection_ratio,pre_execution_rejection_ratio,admitted_deadline_violation_ratio,admitted_deadline_violation_ratio,full_image_on_time_acceptance,full_image_on_time_acceptance,mean_complete_image_dice,mean_complete_image_dice,pixel_defect_recall,pixel_defect_recall,image_complete_miss_rate,image_complete_miss_rate,peak_modeled_temperature,peak_modeled_temperature
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
period_ms,lines,,,,,,,,,,,,,,
250,7,0.3571428571428571,0.0,0.0,0.0,0.5714285714285714,0.0,0.3236055597090516,2.7068604465899637e-16,0.4078512363655576,0.0,0.3748571428571428,0.0,59.99994427570547,3.7548318303107966e-05
250,8,0.4375,0.0,0.0,0.0,0.5,0.0,0.2836372503418709,0.0027727312572740225,0.3534052321408804,0.007053339395022797,0.4523,0.005478239782184711,59.99982878916437,0.00016234601642741136
250,9,0.5,0.0,0.0,0.0,0.4444444444444445,0.0,0.25169321310704007,1.8779221816649037e-16,0.3172176282843226,0.0,0.5137777777777778,0.0,59.99997231688442,1.795386243175713e-05
250,10,0.55,0.0,0.0,0.0,0.4,0.0,0.2248875922482661,0.005479254098576196,0.2787964211492352,0.021229990029104466,0.567,0.007195677714974254,59.99982219099966,9.998297007364178e-05
300,4,0.0,0.0,0.0,0.0,1.0,0.0,0.49488550059855746,3.640109616122045e-16,0.6317481685495717,0.0,0.066,0.0,59.98532236228537,0.01786775402630515
300,5,0.0,0.0,0.0,0.0,1.0,0.0,0.4948855005985582,4.2518304777254294e-16,0.6317481685495717,0.0,0.066,0.0,59.99969835009125,0.0003851655898540716
300,6,0.125,0.0,0.0,0.0,0.8333333333333334,0.0,0.43066732702734545,0.0013529023430627902,0.5457845146436218,0.004523198571766569,0.16446666666666665,0.0035976672826351272,59.99993689205153,7.030827084727944e-05
300,7,0.25,0.0,0.0,0.0,0.7142857142857143,0.0,0.3696676631683315,4.079219866531555e-16,0.4691052768288843,0.0,0.2842857142857143,0.0,59.99997728092179,1.2701777391574964e-05
300,8,0.34375,0.0,0.0,0.0,0.625,0.0,0.3224256866439948,0.002709900888415675,0.40293165599122516,0.00784464683646856,0.3754,0.0057773504115448794,59.999943862411875,5.663759892144077e-05
300,9,0.4166666666666667,0.0,0.0,0.0,0.5555555555555556,0.0,0.28751929357536904,2.1736945807150596e-16,0.3648596597557989,0.0,0.44333333333333325,0.0,59.999962326140675,2.1230245554960502e-05
300,10,0.475,0.0,0.0,0.0,0.5,0.0,0.25567921930010173,0.006545957512962915,0.3195030172556973,0.02282088253560779,0.5022,0.006356099432828304,59.99979549755786,0.00017267984489069228
