configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,20000,5940,0,14060,0,0,50,5,1000,101,edf_dynamic_reservation,5000,4060,0.812,0.6321966329966526,0.18776240000000585,0.12941920000000026,5940,0.18187071599779644,5000,5000,0.15815340032495592,1910,0.44564918567890627,0.21499950832715756,0.7850004916728425,0.684,0.2874957853539504,0.40108680725097656,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5780,0,14220,0,0,50,5,1000,202,edf_dynamic_reservation,5000,4080,0.816,0.6351833910034772,0.18356800000000492,0.12666560000000024,5780,0.1760835482331504,5000,5000,0.16099722274094805,1880,0.45356352457813975,0.17881881637325792,0.8211811836267421,0.672,0.2925663018371917,0.4119899272918701,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5740,0,14260,0,0,50,5,1000,303,edf_dynamic_reservation,5000,4070,0.814,0.6357238675958351,0.1824527500000047,0.12804240000000025,5740,0.17582231325640918,5000,5000,0.1699399025418729,1860,0.48525769197617846,0.23457163178756832,0.7654283682124317,0.662,0.31531778943430555,0.40016889572143555,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5830,0,14170,0,0,50,5,1000,404,edf_dynamic_reservation,5000,4160,0.832,0.6349183533447837,0.18507870000000445,0.11565120000000022,5830,0.17730851458536043,5000,5000,0.17363610476057503,1910,0.488984776676358,0.22088499298263747,0.7791150070173625,0.656,0.315348671915783,0.42465877532958984,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5840,0,14160,0,0,50,5,1000,505,edf_dynamic_reservation,5000,4170,0.834,0.635185445205496,0.18547415000000483,0.11427440000000022,5840,0.17629884836765825,5000,5000,0.16141636998714895,1930,0.44949013883136585,0.21712041929266535,0.7828795807073347,0.662,0.28807376884421687,0.4426431655883789,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5800,0,14200,0,0,50,5,1000,606,edf_dynamic_reservation,5000,3960,0.792,0.6338817241379503,0.1838257000000056,0.1431872000000003,5800,0.17861179659678536,5000,5000,0.15883578976989196,1900,0.44793618025807275,0.17675857115997945,0.8232414288400205,0.668,0.2891003904881808,0.41519737243652344,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5980,0,14020,0,0,50,5,1000,707,edf_dynamic_reservation,5000,4030,0.806,0.6319207357859732,0.18894430000000598,0.13354960000000027,5980,0.18228896497700367,5000,5000,0.16756663452969373,1910,0.4726688892918306,0.19640298248004398,0.803597017519956,0.662,0.30510225476213687,0.4109649658203125,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5800,0,14200,0,0,50,5,1000,808,edf_dynamic_reservation,5000,4050,0.81,0.6352606896551891,0.18422560000000485,0.13079600000000025,5800,0.1771903352496452,5000,5000,0.14791901950514474,1880,0.4287665884116292,0.17042435776110734,0.8295756422388927,0.676,0.28084756890648443,0.4071183204650879,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5930,0,14070,0,0,50,5,1000,909,edf_dynamic_reservation,5000,4090,0.818,0.6328281618887215,0.18763355000000592,0.12528880000000026,5930,0.18151678284941528,5000,5000,0.16261811257009315,1870,0.46179135291164497,0.208993434003863,0.791006565996137,0.682,0.2991732403415518,0.39486050605773926,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,20000,5880,0,14120,0,0,50,5,1000,1010,edf_dynamic_reservation,5000,4100,0.82,0.6335243197279103,0.18625615000000564,0.12391200000000024,5880,0.179416212759607,5000,5000,0.16007082670860662,1890,0.4558386935996696,0.21470104271734433,0.7852989572826556,0.67,0.295767866891063,0.4011354446411133,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5880,0,18120,0,0,50,6,1000,101,edf_dynamic_reservation,6000,5024,0.8373333333333334,0.6326628571428762,0.15500240000000468,0.11197973333333355,5880,0.1505628723224105,6000,6000,0.13627068364185171,1892,0.46891584658472313,0.16938018147137693,0.8306198185286231,0.7186666666666667,0.3326451629428714,0.502467155456543,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5856,0,18144,0,0,50,6,1000,202,edf_dynamic_reservation,6000,5020,0.8366666666666667,0.6337443306011112,0.15463361666667114,0.11243866666666688,5856,0.14942833030900196,6000,6000,0.1361019974168892,1880,0.46616401738199204,0.16943977568178703,0.830560224318213,0.7226666666666667,0.33006201996510287,0.5038461685180664,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5784,0,18216,0,0,50,6,1000,303,edf_dynamic_reservation,6000,5068,0.8446666666666667,0.63510670816046,0.15306071666667087,0.10693146666666688,5784,0.14770431233555922,6000,6000,0.1390260304436974,1884,0.47082745341824056,0.17446819173443961,0.8255318082655604,0.7186666666666667,0.3318014229745432,0.5033419132232666,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5760,0,18240,0,0,50,6,1000,404,edf_dynamic_reservation,6000,5064,0.844,0.63566097222224,0.1525586333333376,0.1073904000000002,5760,0.14741265831657294,6000,6000,0.13093556468773543,1880,0.45479823948094833,0.16141139971578863,0.8385886002842113,0.7273333333333334,0.3238626747932129,0.5029311180114746,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5904,0,18096,0,0,50,6,1000,505,edf_dynamic_reservation,6000,5072,0.8453333333333334,0.6335770325203444,0.15585995000000472,0.10647253333333354,5904,0.15007190627870787,6000,6000,0.1344957091718515,1868,0.460111029785642,0.1758280057785228,0.8241719942214771,0.7253333333333334,0.3256153206137905,0.5216305255889893,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5888,0,18112,0,0,50,6,1000,606,edf_dynamic_reservation,6000,5064,0.844,0.633783423913062,0.15548820000000454,0.1073904000000002,5888,0.1497906245094363,6000,6000,0.1336515391732853,1876,0.4575447952553371,0.1668538430421479,0.8331461569578521,0.726,0.3238932560820518,0.5092711448669434,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5936,0,18064,0,0,50,6,1000,707,edf_dynamic_reservation,6000,5024,0.8373333333333334,0.6324489892183486,0.15642571666667154,0.11197973333333355,5936,0.1510526887820862,6000,6000,0.13854516360502037,1900,0.46773240523605575,0.16842807535180984,0.8315719246481902,0.7233333333333334,0.3291872416310354,0.516087532043457,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5892,0,18108,0,0,50,6,1000,808,edf_dynamic_reservation,6000,5056,0.8426666666666667,0.6333471147318582,0.1554867166666712,0.10830826666666687,5892,0.14939405241965434,6000,6000,0.13263522320022994,1888,0.4538543892859197,0.164348495842404,0.835651504157596,0.722,0.3212191660856898,0.5202054977416992,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5828,0,18172,0,0,50,6,1000,909,edf_dynamic_reservation,6000,4996,0.8326666666666667,0.6333552505147757,0.15379976666667136,0.11519226666666689,5828,0.14900038075684524,6000,6000,0.13377532367358075,1864,0.46801682376117343,0.1663789027373305,0.8336210972626695,0.7233333333333334,0.3342415000875927,0.514923095703125,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,24000,5832,0,18168,0,0,50,6,1000,1010,edf_dynamic_reservation,6000,5052,0.842,0.6341947187928851,0.15410931666667108,0.10876720000000022,5832,0.1491730274910906,6000,6000,0.13633247979299182,1864,0.46940452408325256,0.16794200749733082,0.8320579925026692,0.7273333333333334,0.3330720442902607,0.515625,periodic,1.0,,,,,,,,,
